 398    0   28    1    0  999   17    0    0    0
 399    0   23    1    1   16   14    1   30    0
 400    1   41    3    0   17   17    1   30    0
 401    0   53    3    0  999   28    0    0    0
 402    1   12    1  999  999  999    0    0    0
 403    1   13    1  999  999  999    0    0    0
 404    1   14    1  999  999  999    0    0    0
 405    1   17    1  999   13   15    3    1    0
 406    0   34    3    0  999  999    0    0    0
 407    1   64    1    0  999   15    1    0    0
 408    1   42    3    0  999  999    0    0    0
 409    0   56    3    0  999   21    0    0    0
 410    1   50    1    1  999   17    0    0    0
 411    0   43    1    1  999   14  999    0  999
 412    1   13    1  999  999  999    0    0    0
 413    0   22    3    0  999   21    0    0    0
 414    1   15    3  999  999  999    0    0    0
 415    0   57    1    1  999  999    0    0    0
 416    0   33    3    0  999   24    0    0    0
 417    1   16    3  999  999   10    4    0    1
 418    0   56    3    0  999   24    0    0    0
 419    0   15    3  999  999   14    0    0    0
 420    0   15    3  999  999  999    0    0    0
 421    0   52    3    0   17   16    0    0    0
 422    1   54    3    0   14   16   12  999    1
 423    0   13    1  999  999   13    0  999    0
 424    1   15    3  999  999   11    2  999    0
 425    0   62    3    0   22  999    0    0    0
 426    0   45    1    1   25   12   30    0    1
 427    0   42    1    1  999   12    1    0    0
 428    1   32    1    0   25  999    0    0    0
 429    0   77    1    0   20   10    1    0    0
 430    0   82    1    0  999  999    0    0    0
 431    0   77    1    0  999   20  999    0  999
 432    1   33    2    0  999   15   25    0    1
 433    0   32    1    0   13   13    1    0    0
 434    0   49    1    1  999   22    3    0    0
 435    1   62    1    1   19   17  999    0  999
 436    0   13    3  999  999  999    0    0    0
 437    0   14    3  999  999  999    0    0    0
 438    0   82    1    0  999  999    0    0    0
 439    1   21    2    0   13   16  999    0  999
 440    1   22    2    0  999  999    0  999    0
 441    0   37    2    0  999   15  999    0  999
 442    1   35    2    0   17   16    8  999    1
 443    0   12    2  999  999  999    0  999    0
 444    0   18    2    1  999   16    2    2    0
 445    1   77    2    0  999  999    0    0    0
 446    1   58    3    0   18   18   15   30    1
